rank,nome,nota
1,Brass: Birmingham,8.61
2,Pandemic Legacy: Season 1,8.53
3,Gloomhaven,8.62
4,Ark Nova,8.53
5,Twilight Imperium: Fourth Edition,8.62
6,Terraforming Mars,8.38
7,Gloomhaven: Jaws of the Lion,8.50
8,Dune: Imperium,8.40
9,War of the Ring: Second Edition,8.53
10,Star Wars: Rebellion,8.42
11,Spirit Island,8.35
12,Gaia Project,8.41
13,Through the Ages: A New Story of Civilization,8.32
14,Twilight Struggle,8.25
15,Great Western Trail,8.23
16,Scythe,8.17
17,The Castles of Burgundy,8.13
18,7 Wonders Duel,8.10
19,Nemesis,8.30
20,Brass: Lancashire,8.19
21,Eclipse: Second Dawn for the Galaxy,8.50
22,Concordia,8.10
23,A Feast for Odin,8.18
24,Clank!: Legacy – Acquisitions Incorporated,8.57
25,Wingspan,8.07
26,Terra Mystica,8.08
27,Arkham Horror: The Card Game,8.14
28,Root,8.08
29,Lost Ruins of Arnak,8.08
30,Orléans,8.06
31,Everdell,8.05
32,Mage Knight Board Game,8.09
33,Viticulture Essential Edition,8.01
34,Great Western Trail (Second Edition),8.43
35,Barrage,8.18
36,The Crew: Mission Deep Sea,8.22
37,Too Many Bones,8.35
38,Food Chain Magnate,8.08
39,Marvel Champions: The Card Game,8.14
40,Pax Pamir: Second Edition,8.25
41,Puerto Rico,7.93
42,Underwater Cities,8.08
43,Caverna: The Cave Farmers,7.96
44,Blood Rage,7.95
45,Anachrony,8.10
46,Agricola,7.89
47,Cascadia,7.97
48,On Mars,8.22
49,Pandemic Legacy: Season 0,8.46
50,Pandemic Legacy: Season 2,8.05
51,Mansions of Madness: Second Edition,7.97
52,Crokinole,8.00
53,Maracaibo,8.07
54,Kanban EV,8.46
55,Sleeping Gods,8.31
56,Tzolk'in: The Mayan Calendar,7.87
57,Power Grid,7.82
58,Lisboa,8.19
59,The Crew: The Quest for Planet Nine,7.85
60,Clans of Caledonia,7.95
61,The Quacks of Quedlinburg,7.84
62,Le Havre,7.85
63,Star Wars: Imperial Assault,7.97
64,Paladins of the West Kingdom,8.00
65,The Gallerist,8.03
66,Mechs vs. Minions,7.98
67,Kingdom Death: Monster,8.51
68,Grand Austria Hotel,7.92
69,Android: Netrunner,7.88
70,Azul,7.76
71,Cthulhu: Death May Die,8.17
72,Eclipse,7.84
73,Race for the Galaxy,7.75
74,Heat: Pedal to the Metal,8.17
75,Aeon's End,7.93
76,Clank!: A Deck-Building Adventure,7.79
77,Agricola (Revised Edition),7.96
78,Five Tribes,7.78
79,Through the Ages: A Story of Civilization,7.86
80,Fields of Arle,8.04
81,Teotihuacan: City of Gods,7.88
82,Frosthaven,8.85
83,Lords of Waterdeep,7.74
84,Robinson Crusoe: Adventures on the Cursed Island,7.77
85,The Voyages of Marco Polo,7.80
86,Dominant Species,7.82
87,Beyond the Sun,7.96
88,7 Wonders,7.70
89,Obsession,8.17
90,Tainted Grail: The Fall of Avalon,8.14
91,The 7th Continent,7.88
92,Architects of the West Kingdom,7.76
93,El Grande,7.73
94,The Search for Planet X,8.01
95,Battlestar Galactica: The Board Game,7.73
96,Keyflower,7.74
97,Caylus,7.73
98,Decrypto,7.78
99,Raiders of the North Sea,7.75
100,Mombasa,7.86
